iter	Passed	Remaining
0	0	24
1	0	21
2	0	20
3	0	18
4	1	19
5	1	20
6	1	19
7	1	19
8	1	19
9	2	19
10	2	19
11	2	19
12	3	20
13	3	20
14	3	20
15	3	19
16	3	19
17	4	19
18	4	19
19	4	19
20	5	19
21	5	19
22	5	18
23	6	19
24	6	19
25	6	18
26	6	18
27	7	18
28	7	17
29	7	17
30	7	17
31	8	17
32	8	16
33	8	16
34	8	16
35	9	16
36	9	16
37	9	15
38	10	15
39	10	15
40	10	15
41	10	14
42	10	14
43	11	14
44	11	13
45	11	13
46	11	13
47	12	13
48	12	12
49	12	12
50	12	12
51	13	12
52	13	11
53	13	11
54	13	11
55	14	11
56	14	10
57	14	10
58	15	10
59	15	10
60	15	9
61	15	9
62	15	9
63	16	9
64	16	8
65	17	9
66	17	8
67	18	8
68	18	8
69	18	8
70	19	7
71	19	7
72	19	7
73	19	6
74	19	6
75	20	6
76	20	6
77	20	5
78	20	5
79	21	5
80	21	5
81	21	4
82	22	4
83	22	4
84	22	3
85	22	3
86	23	3
87	23	3
88	23	2
89	23	2
90	24	2
91	24	2
92	24	1
93	24	1
94	25	1
95	25	1
96	25	0
97	25	0
98	26	0
99	26	0
